	uner-class	uner-class
Name-Event-Occasion-Occasion_Other	0.0028895059374513267	538
Name-Product-Art-Art_Other	0.002706897755530611	504
Name-Organization-Corporation-CompanyName-Facility-GOE-School	0.00239538968048939	446
Name-Facility-Archaeological_Place-Archaeological_Place_Other	0.002384648022729348	444
Name-Organization-Ethnic_Group_other	0.0023792771938493267	443
Name-Facility-Line-Railroad	0.002298714760649011	428
Name-Organization-Sports_Organization-Sports_League	0.002287973102888969	426
Name-Product-Weapon-Object	0.002282602274008948	425
Name-Facility-GOE-Worship_Place	0.0022557481296088424	420
Name-Product-Vehicle-Aircraft	0.002185927354168569	407
Name-Location-Astral_Body-Astral_Body_Other	0.002132219065368358	397
Name-Person-Fictional	0.0019764650278477477	368
Name-Natural_Object-Living_Thing-Plant	0.0019442400545676213	362
Name-Facility-Line-Bridge	0.0016542152950464845	308
Name-Product-Vehicle-Ship	0.001605877835126295	299
Name-Product-Vehicle-Car	0.0015682820329661477	292
Name-Natural_Object-Living_Thing-Mammal	0.0014554946264857056	271
Name-Product-Food_Other	0.0014232696532055793	265
Name-Location-Geological_Region-Geological_Region_Other	0.0013695613644053688	255
Name-Facility-GOE-Park	0.001310482246725137	244
Name-Product-Doctrine_Method-Culture	0.001294369760085074	241
Name-Disease	0.0012299198135248212	229
Time_TOP-Timex-Holiday	0.001213807326884758	226
Name-Natural_Object-Living_Thing-Living_Thing_Other	0.0010473116316041054	195
Name-Event-Historical_Event	0.0009774908561638318	182
Name-Location-Geological_Region_Mountain	0.0009345242251236634	174
Name-Natural_Object-Living_Thing_Part-Living_Thing_Part	0.0009237825673636212	172
Name-Facility-GOE-Market	0.0009076700807235581	169
Name-Product-Unit-Currency	0.0008485909630433265	158
Name-Facility-GOE-Theater	0.0007895118453630949	147
Name-Location-Planet	0.0007358035565628844	137
Name-Natural_Object-Living_Thing-Reptile	0.0006874660966426949	128
Name-Facility-Line-Canal	0.0006337578078424843	118
Name-Natural_Object-Compound	0.0006283869789624633	117
Name-Event-Natural_Phenomenon-Natural-Earthquake	0.000601532834562358	112
Name-Product-Vehicle-Train	0.000601532834562358	112
Name-Product-Doctrine_Method-Sport	0.0005531953746421686	103
Name-Natural_Object-Living_Thing-Insect	0.0005370828880021054	100
Name-Natural_Object-Living_Thing-Bird	0.0005317120591220843	99
Time_TOP-Timex-Time	0.0004726329414418527	88
Name-Product-Drug-Substance	0.0004618912836818106	86
Name-Product-Language-Language_Other	0.0004618912836818106	86
Name-Location-Astral_Body-Star	0.000397441337121558	74
Name-Product-Vehicle-Vehicle_Other	0.00035447470608138956	66
Name-Natural_Object-Living_Thing-Fish	0.00031687890392124215	59
Name-Facility-GOE-Amusement_Park	0.00029539558840115793	55
Name-Natural_Object-Mineral	0.0002900247595211369	54
Name-Facility-Line-Tunnel	0.0002739122728810737	51
Name-Natural_Object-Living_Thing-Mollusc_Arthropod	0.00019334983968075794	36
Name-Product-Doctrine_Method-Doctrine_Method_Other	0.00016112486640063162	30
Name-Location-Geological_Region-Sea	0.00013427072200052634	25
Name-Product-Vehicle-Spaceship	0.00012352906424048423	23
Name-Location-Constellation	9.130409096035792e-05	17
Name-Natural_Object-Living_Thing-Amphibian	8.593326208033686e-05	16
Name-Color	5.907911768023159e-05	11
Name-Event-Occasion-Conference	3.7595802160147376e-05	7
Name-Natural_Object-Living_Thing-Fungus	3.7595802160147376e-05	7
Name-Location-Region-Region_Other	2.1483315520084216e-05	4
Name-Location-Region-Continental_Region	2.1483315520084216e-05	4
